Zipcode,Male,Female,White,Black,American Indian / Alaska Native,Asian,Native Hawaiian / Pacific Islander,Other,Mixed,Hispanic / Latino,High school diploma,Some college (1 or more years),Bachelor's degree,Master's degree,Doctorate degree,< $10000,$10000 - $14999,$15000 - $19999,$20000 - $24999,$25000 - $29999,$30000 - $34999,$35000 - $39999,$40000 - $44999,$45000 - $49999,$50000 - $59999,$60000 - $74999,$75000 - $99999,$100000 - $124999,$125000 - $149999,$150000 - $199999,$200000+
601,8788,9194,16956,102,14,0,0,846,64,17942,3017,1498,1720,248,65,2873,716,448,318,262,252,266,118,135,231,138,86,59,22,20,28
602,19790,20470,23144,693,8,72,0,1545,14798,37681,4770,2093,4203,1242,258,4072,2112,1376,943,893,683,521,482,376,510,486,370,104,40,0,0
603,25675,26733,36177,2057,76,655,0,5642,7801,50437,8309,3379,5981,1710,280,5794,2783,1784,1477,1173,1018,695,815,500,933,691,454,217,121,109,110
606,3152,3179,4399,151,0,0,0,1655,126,6323,1441,172,385,21,32,868,195,230,153,125,99,98,61,52,27,7,0,0,0,0,0
610,13726,14602,17791,950,0,26,0,6206,3355,27999,5707,1701,2266,453,144,2529,1392,1303,925,758,676,377,278,217,395,311,151,43,23,26,0
612,30776,34040,53756,3252,331,808,0,4792,1877,64542,10863,5191,8055,1809,537,7836,2519,2605,1829,1404,1196,788,874,547,1138,1090,716,159,28,169,73
616,5070,5637,10088,224,31,0,0,90,274,10685,2468,815,890,148,16,1329,633,291,288,323,159,180,133,56,15,67,85,70,0,0,7
617,11833,12960,23276,539,0,30,0,646,302,24645,5213,1762,2170,403,51,3005,1080,965,734,721,331,343,123,177,349,246,180,56,42,0,0
622,3412,4013,5251,104,0,0,0,2066,4,7357,1357,744,743,151,105,924,325,222,237,196,101,83,69,51,104,69,75,8,15,28,50
623,20598,22357,32402,1515,40,16,0,8669,313,42881,6838,2588,5895,1035,499,4878,1816,1662,1372,771,685,545,494,317,710,571,322,207,127,81,0
624,11986,12642,20830,856,39,46,0,2224,633,24470,4555,1580,2297,280,105,2791,1190,954,711,559,520,293,253,247,310,188,127,32,23,0,18
627,16353,17596,28031,543,32,0,0,5041,302,33744,5774,2709,3632,844,131,3434,1710,1359,1280,671,744,547,406,322,498,478,235,147,10,43,50
631,800,864,1516,0,0,0,0,148,0,1656,257,189,136,12,0,380,109,47,29,35,10,32,0,0,0,15,0,0,0,0,0
637,11561,12837,20606,739,86,0,0,2409,558,24156,5212,1446,2755,406,90,2535,1054,672,600,476,246,385,170,212,341,241,90,47,19,0,0
638,8823,9261,17295,153,0,0,0,245,391,17999,3339,1064,1361,139,17,2448,900,655,390,237,396,278,142,105,235,172,52,8,0,0,0
641,14374,15142,25638,545,48,246,0,2407,632,29391,4982,2390,3028,412,123,3225,1244,1148,698,757,421,451,345,245,397,315,205,67,9,13,0
646,18412,19984,29211,5230,0,29,0,1077,2849,37590,6112,2836,5365,1554,164,2643,1070,1375,789,753,744,568,575,444,861,844,552,478,248,222,194
647,2738,3002,4916,124,5,0,0,598,97,5733,1306,409,512,107,11,624,363,241,140,96,90,56,64,9,57,18,29,4,0,0,0
650,7273,7465,13906,256,0,68,0,409,99,14708,3648,973,908,22,33,1649,940,411,541,321,244,273,181,73,280,50,40,0,0,14,0
652,1770,2030,3443,60,0,23,0,270,4,3783,683,271,451,100,0,486,127,174,90,132,26,43,20,60,94,35,31,52,20,0,0
653,6063,6451,10227,435,53,0,0,1511,288,12437,2758,666,941,216,52,1383,624,571,217,137,143,175,112,96,48,48,65,6,7,5,27
656,9836,10578,17938,621,128,29,0,1247,451,20302,3674,1188,2129,280,97,2259,1042,791,535,339,376,181,214,254,232,195,66,86,37,0,5
659,20062,21516,40209,353,0,124,0,453,439,41307,5669,2721,4760,1336,271,3829,2179,1597,1253,927,921,650,425,527,517,567,540,271,97,37,0
660,7824,9021,5853,362,0,70,0,5710,4850,16762,3327,1282,2069,493,94,1679,752,700,647,453,465,455,205,225,406,162,192,41,29,0,7
662,20657,21842,28948,2352,176,10,0,9774,1239,42019,8157,3347,4415,1136,123,5210,1675,1721,1276,821,862,549,625,496,601,317,250,158,24,0,35
664,7937,8037,14116,236,0,19,0,690,913,15949,3302,1191,1200,329,58,1613,689,527,439,373,427,155,146,82,75,260,60,0,0,0,0
667,12157,12811,18519,576,46,0,0,4961,866,24947,4081,1514,1846,541,178,3388,1253,928,867,342,371,342,242,242,216,125,71,31,48,28,0
669,13671,14032,25205,247,9,26,0,1799,417,27588,4045,2452,2714,612,46,4236,1392,699,676,498,475,411,344,242,267,268,137,70,0,0,20
670,4619,4714,7732,76,15,0,0,1490,20,9235,1579,379,810,154,18,1340,314,279,326,174,221,162,92,48,89,74,31,13,0,0,0
674,20096,22262,36403,1905,41,3,0,3607,399,41770,6922,3028,5137,904,178,5171,1991,1459,1422,1058,798,506,685,584,884,500,567,300,93,72,0
676,19104,19895,29641,1095,82,19,19,5770,2373,38681,6655,2733,3765,844,109,4512,1890,1128,1013,722,611,687,424,291,479,316,149,90,18,26,0
677,7249,7606,8334,222,0,28,0,311,5960,13513,2025,719,1681,377,133,1714,676,676,505,327,450,224,208,241,143,169,34,13,29,12,30
